title,description,Specification,volumes,subtitle,image
Gazpromneft  Ecogas  15W-40,"Gazpromneft  Ecogas  15W-40  is  high  quality  mineral  oil  which  has  been  developed  to  provide  excellent  protection  of  the  LPG  fueled  engines  under  all  operating  conditions.  Gazpromneft  Ecogas  15W-40  formulated  with  the  use  of  advanced  additive  system  to  provide  protection  against  wear,corrosion,all  types  of  deposits  and  oil  thickening  at  all  temperatures.","API  CF,

API  SL",4  l,Passenger  Vehicle  Engine  Oils,/render/storage/9b/ee/de1b5e3ba9c1fbc1a78aeb74dab7a650d3874570.png
Gazpromneft  Ecogas  10W-40,"Gazpromneft  Ecogas  10W-40  is  high  quality  semi-synthetic  engine  oil  designed  to  provide  excellent  protection  of  the  LPG  fueled  engines  under  all  operating  conditions.  Gazpromneft  Ecogas  10W-40  formulated  with  the  use  of  synthetic  technology  and  advanced  additive  system  to  provide  protection  against  wear,corrosion,all  types  of  deposits  and  oil  thickening  at  all  temperatures.","API  CF,

API  SL","1  l,



4  l,



20  l,



205  l",Passenger  Vehicle  Engine  Oils,/render/storage/dd/9a/794ba89d520420660c8ca07489fd46e0de5ee48f.png
Gazpromneft  Premium  L  20W-50,"Gazpromneft  Premium  L  20W-50  is  high  quality  mineral  engine  oils  providing  high  level  of  protection  and  performance.  It  is  formulated  with  improved  additive  package  providing  wear,corrosion  and  rust  protection  to  ensure  optimum  engine  operation.  It  delivers  long  engine  life  for  many  types  and  ages  of  vehicles  with  enhanced  protection  over  a  wide  temperature  range.",API  SL,"1  l,



4  l,



5  l,



20  l,



50  l,



205  l,



1000  l",Passenger  Vehicle  Engine  Oils,/render/storage/2d/5f/4c689e8077c37bb5660749e10f0ca2ae5a083aef.png
Gazpromneft  Premium  L  15W-40,"Gazpromneft  Premium  L  15W-40  is  high  quality  mineral  engine  oil  providing  high  level  of  protection  and  performance.  It  is  formulated  with  improved  additive  package  providing  wear,corrosion  and  rust  protection  to  ensure  optimum  engine  operation.  It  delivers  long  engine  life  for  many  types  and  ages  of  vehicles  with  enhanced  protection  over  a  wide  temperature  range.","API  CF,

API  SL","1  l,



4  l,



5  l,



205  l",Passenger  Vehicle  Engine  Oils,/render/storage/aa/e5/5b6afbc0c20f47c23bb998a256193a4a997d7cd2.png
Gazpromneft  Premium  L  10W-40,"Gazpromneft  Premium  L  10W-40  is  high  quality  semi-synthetic  engine  oil  providing  excellent  high  temperature  wear  protection,cold  start  performance  and  inhibits  deposit  formation.  Gazpromneft  Premium  L  10W-40  is  formulated  with  the  use  of  synthetic  technology  and  advanced  additive  system  to  provide  improved  performance  level  compared  with  conventional  oils.  It  provides  long  engine  life  for  many  types  and  ages  of  vehicles  with  enhanced  protection  over  a  wide  temperature  range.","API  SL,

ПАО  ""АВТОВАЗ""","1  l,



4  l,



5  l,



20  l,



50  l,



205  l",Passenger  Vehicle  Engine  Oils,/render/storage/94/35/add27a093517790a8389a5822a8b499544b9dc8e.png
Gazpromneft  Premium  L  10W-30,"Gazpromneft  Premium  L  10W-30  is  high  quality  semi-synthetic  engine  oil  providing  excellent  high  temperature  wear  protection,cold  start  performance  and  inhibits  deposit  formation.  Gazpromneft  Premium  L  10W-30  is  formulated  with  the  use  of  synthetic  technology  and  advanced  additive  system  to  provide  improved  performance  level  compared  with  conventional  oils.  It  provides  long  engine  life  for  many  types  and  ages  of  vehicles  with  enhanced  protection  over  a  wide  temperature  range.","API  CF,

API  SL","1  l,



4  l,



5  l,



205  l",Passenger  Vehicle  Engine  Oils,/render/storage/6b/5a/34ab548c2a04c5444af223cd056223a416772de2.png
Gazpromneft  Premium  L  5W-40,"Gazpromneft  Premium  L  5W-40  is  high  quality  semi-synthetic  engine  oil  providing  excellent  high  temperature  wear  protection,cold  start  performance  and  inhibits  deposit  formation.  It  is  formulated  with  the  use  of  synthetic  technology  and  advanced  additive  system  to  provide  improved  performance  level  compared  with  conventional  oils.  Gazpromneft  Premium  L  5W-40  provides  long  engine  life  for  many  types  and  ages  of  vehicles  with  enhanced  protection  over  a  wide  temperature  range.","API  CF,

API  SL,

ЗМЗ,

ПАО  ""АВТОВАЗ""","1  l,



4  l,



5  l,



50  l,



205  l",Passenger  Vehicle  Engine  Oils,/render/storage/5b/91/0eaac971fe7a5f7c4948d542abd02e0d681bbe4e.png
Gazpromneft  Premium  L  5W-30,"Gazpromneft  Premium  L  5W-30  is  high  quality  semi-synthetic  engine  oil  providing  excellent  high  temperature  wear  protection,cold  start  performance  and  inhibits  deposit  formation.  It  is  formulated  with  the  use  of  synthetic  technology  and  advanced  additive  system  to  provide  improved  performance  level  compared  with  conventional  oils.  Gazpromneft  Premium  L  5W-30  provides  long  engine  life  for  many  types  and  ages  of  vehicles  with  enhanced  protection  over  a  wide  temperature  range.","API  CF,

API  SL,

ПАО  ""АВТОВАЗ""","1  l,



4  l,



5  l,



205  l",Passenger  Vehicle  Engine  Oils,/render/storage/42/ad/7bc38fc828a482ad5195b0336cfabcf64767504f.png
Gazpromneft  Premium  A3  5W-30,Gazpromneft  Premium  A3  5W-30  is  fully  synthetic  engine  oil  designed  to  provide  protection  for  a  wide  range  of  passenger  cars  and  light  commercial  gasoline  and  diesel  engines.  It  is  formulated  with  synthetic  base  oils  and  advanced  additive  system  to  provide  improved  performance  level  compared  with  conventional  oils.  Gazpromneft  Premium  A3  5W-30  provides  long  engine  life  for  many  types  and  ages  of  vehicles  with  enhanced  protection  over  a  wide  temperature  range.,"ACEA  A3/B3,

ACEA  A3/B4,

API  CF,

API  SL,

MB  229.3,

Renault  RN700,

Renault  RN710,

VW  502  00,

VW  505  00,

ПАО  ""АВТОВАЗ"",

BMW  Longlife-01  (<  2019  m.y.)","1  l,



4  l,



5  l,



20  l,



205  l",Passenger  Vehicle  Engine  Oils,/render/storage/55/71/a44007d7740f2f76408fa194f1805975f4c504c7.png
Gazpromneft  Premium  A5B5  5W-30,"Gazpromneft  Premium  A5B5  5W-30  is  a  fully  synthetic  energy  saving  engine  oil  designed  for  maximum  protection  of  gasoline  and  diesel  engines  in  modern  European  and  Asian  vehicles  used  in  various  operating  conditions.  A  combination  of  polymer  molecules  and  anti-friction  components  allows  fuel  economy  to  be  gained,while  a  high  level  of  detergency  ensures  high  cleanliness  of  the  engine.","ACEA  A1/B1,

ACEA  A5/B5,

API  CF,

API  SL,

Ford  WSS-M2C913-B,

Ford  WSS-M2C913-C,

Ford  WSS-M2C913-D,

Renault  RN700","1  l,



4  l,



50  l,



205  l",Fully  synthetic  engine  oil  for  modern  gasoline  and  diesel  engines  of  passenger  cars  and  light  commercial  vehicles,/render/storage/eb/d7/1ffd45c51001965168759a4d24e76e34893c9410.png
Gazpromneft  Premium  N  20W-50,"Gazpromneft  Premium  N  20W-50  is  high  performance  engine  oil  providing  high  level  of  protection  and  performance  under  variety  of  operation  conditions.  It  is  formulated  with  high  quality  base  oils  and  selected  additives  delivering  long  engine  life  for  many  types  and  ages  of  vehicles  protecting  against  sludge  and  wear.  Gazpromneft  Premium  N  20W-50  has  a  higher  viscosity  that  help  to  provide  full  engine  protection  under  higher  operating  speeds,temperatures,and  other  adverse  conditions.",API  SN,"1  l,



4  l,



20  l,



205  l",Semisynthetic  engine  oil  designed  for  gasoline  and  diesel  engines  used  in  regions  with  hot  climates,/render/storage/96/0e/299bfbd0b54ee5be34f761a16cce2997ecb33053.jpg
Gazpromneft  Premium  N  5W-40,"Gazpromneft  Premium  N  5W-40  is  fully  synthetic  engine  oil  designed  to  provide  the  ultimate  protection  for  all  technically  advanced  passenger  cars  and  light  commercial  gasoline  and  diesel  engines.  Gazpromneft  Premium  N  5W-40  delivers  increased  protection  during  long  oil  drain  intervals  and  engine  wear  protection  from  cold  start  to  extreme  temperatures,giving  you  confidence  of  protection  in  demanding  conditions  and  high  engine  stress.","ACEA  A3/B3,

ACEA  A3/B4,

API  CF,

API  SN,

General  Motors  LL-B-025,

MB  226.5,

MB  229.3,

Porsche  A40,

PSA  B71  2296,

Renault  RN700,

Renault  RN710,

VW  502  00,

VW  505  00,

ПАО  ""АВТОВАЗ"",

УМЗ,

BMW  Longlife-01  (<  2019  m.y.)","1  l,



4  l,



5  l,



50  l,



205  l",High  Performance  Passenger  Vehicle  Engine  Oil,/render/storage/c8/b9/19ae698151781c36d20e1c32a35ec43ef7a48a7f.png
Gazpromneft  Premium  P  5W-40,"Synthetic  engine  oil  designed  for  maximum  protection  of  modern  high-boosted  gasoline  and  diesel  engines  of  passenger  vehicles  operating  in  a  wide  range  of  environments.  This  oil  features  outstanding  anti-wear  properties,superior  protection  against  high-temperature  deposits  and  sludge  formations,prevents  low  speed  pre-ignition  (LSPI)  in  direct  injection  engines  (GDI/TGDI).","ACEA  A3/B3,

ACEA  A3/B4,

API  CF,

API  SN,

API  SP,

MB  226.5,

MB  229.3,

MB  229.5,

Renault  RN700,

Renault  RN710,

VW  502  00,

VW  505  00,

BMW  Longlife-01  (<  2019  m.y.)","1  l,



4  l,



5  l,



20  l,



50  l,



205  l",Passenger  Vehicle  Engine  Oils,/static/default/img/fish/no-product-img.png
Gazpromneft  Premium  JK  0W-20,"Fully  synthetic  energy-saving  engine  oil  for  gasoline  engines  (cars,SUVs,minivans  and  light  trucks)  produced  in  Japan  and  Korea.","API  SN,

API  SP,

Chrysler  MS-6395,

Fiat  9.55535-CR1,

ILSAC  GF-5,

ILSAC  GF-6A","1  l,



4  l,



5  l",Synthetic  fuel-efficient  engine  oil  for  gasoline  and  hybrid  engines  of  modern  vehicles,/render/storage/39/d7/b853127fa6c8011362dca75cc3a823f5a3f7f482.png
Gazpromneft  Premium  JK  0W-16,"Synthetic  fuel-efficient  engine  oil  specially  formulated  for  gasoline  and  hybrid  motors  of  modern  vehicles  (including  plug-in  hybrid  vehicles),where  SAE  0W-16  viscosity  grade  oils  are  required.  Provides  excellent  fuel  economy  and  allows  you  to  achieve  maximum  motor  efficiency  due  to  lower  viscosity  grade  and  low  high-temperature  viscosity  under  high  shear  rate  conditions  (HTHS≥2.3  mPas).","API  SP,

ILSAC  GF-6B","1  l,



4  l,



5  l,



205  l",Synthetic  fuel-efficient  engine  oil  for  gasoline  and  hybrid  engines  of  modern  vehicles,/static/default/img/fish/no-product-img.png
Gazpromneft  Premium  C3  5W-40,Gazpromneft  Premium  C3  5W-40  is  fully  synthetic  engine  oil  designed  to  provide  long  engine  life  through  enhanced  lubrication  and  protection  of  critical  engine  parts.  It  also  provides  enhanced  protection  for  the  latest  emission  control  systems  and  turbochargers.  Gazpromneft  Premium  C3  5W-40  can  be  used  in  modern  MB  gasoline  and  diesel  engines.,"ACEA  C3,

API  SP,

Fiat  9.55535-S2,

Ford  WSS-M2C917-A,

MB  229.31,

VW  505  00,

VW  505  01,

dexos2","1  l,



4  l,



5  l,



50  l,



205  l",High  Performance  Passenger  Vehicle  Engine  Oil,/render/storage/bc/a2/3351a2d57dfcda65ea583f1349567dc5db3474d1.png
Gazpromneft  Premium  C3  5W-30,"Gazpromneft  Premium  C3  5W-30  is  fully  synthetic  engine  oil  designed  to  provide  long  engine  life  through  enhanced  lubrication  and  protection  of  critical  engine  parts.  It  also  provides  enhanced  protection  for  the  latest  emission  control  systems  and  turbochargers.  Gazpromneft  Premium  C3  5W-30  can  be  used  in  modern  MB,BMW  and  VW  Group  gasoline  and  diesel  engines.","ACEA  C2,

ACEA  C3,

API  SP,

Iveco  18-1811  SC1,

MB  229.51,

MB  229.52,

Opel-Vauxhall  OV0401547,

VW  505  00,

VW  505  01,

BMW  Longlife-04  (<  2019  m.y),

dexos2,

Renault  RN17","1  l,



4  l,



5  l,



50  l,



205  l",Passenger  Vehicle  Engine  Oils,/render/storage/2b/ed/9188339d4c5fab961622e36b6600f44d4e524795.png
